 Calculations that do not match the inspection results.
 _______________________________________________________________________________
  # cycles to | as previous, | failure # cycles/ | as previous, |detected cracks
    failure   | period after | applied # cycles  | period after |in subsequent
              |  last insp.  |                   |  last insp.  |inspections
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.316E+07    1.422E+07         8.954E-01         5.940E-01   1    3
    8.353E+07    1.459E+07         8.993E-01         6.093E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.718E+07    8.237E+06         8.309E-01         3.441E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.929E+07    1.035E+07         8.537E-01         4.322E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.866E+07    9.715E+06         8.468E-01         4.058E-01   0    4
    7.827E+07    9.333E+06         8.427E-01         3.899E-01   1    0
    9.278E+07    2.384E+07         9.989E-01         9.958E-01   0    1
    7.599E+07    7.050E+06         8.182E-01         2.945E-01   3    0
    8.761E+07    1.867E+07         9.433E-01         7.800E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.746E+07    1.852E+07         9.416E-01         7.735E-01   0    1
    6.993E+07    9.895E+05         7.529E-01         4.133E-02   2    0
    7.889E+07    9.947E+06         8.493E-01         4.155E-01   0    1
    8.105E+07    1.211E+07         8.726E-01         5.058E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.095E+07    2.201E+07         9.792E-01         9.192E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    3
    9.270E+07    2.376E+07         9.980E-01         9.924E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.122E+07    2.228E+07         9.821E-01         9.305E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    2
    7.566E+07    6.718E+06         8.146E-01         2.806E-01   1    1
    7.796E+07    9.020E+06         8.394E-01         3.768E-01   1    0
    9.178E+07    2.284E+07         9.882E-01         9.541E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    3.417E+07   -3.477E+07         3.679E-01        -1.453E+00   0    0
    6.844E+07   -5.058E+05         7.368E-01        -2.113E-02   0    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.261E+07    1.367E+07         8.894E-01         5.709E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    5.611E+07   -1.283E+07         6.041E-01        -5.360E-01   0    1
    8.612E+07    1.718E+07         9.272E-01         7.177E-01   1    0
    8.484E+07    1.590E+07         9.135E-01         6.643E-01   1    0
    8.659E+07    1.764E+07         9.322E-01         7.370E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   2    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    3
    9.180E+07    2.286E+07         9.884E-01         9.548E-01   0    1
    7.064E+07    1.696E+06         7.605E-01         7.084E-02   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.102E+07    1.208E+07         8.723E-01         5.047E-01   1    0
    7.756E+07    8.621E+06         8.351E-01         3.601E-01   1    0
    7.916E+07    1.022E+07         8.522E-01         4.268E-01   1    2
    7.035E+07    1.411E+06         7.574E-01         5.895E-02   0    1
    7.654E+07    7.603E+06         8.241E-01         3.176E-01   1    0
    9.041E+07    2.147E+07         9.734E-01         8.969E-01   0    1
    7.775E+07    8.807E+06         8.371E-01         3.679E-01   1    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.081E+07    2.187E+07         9.777E-01         9.135E-01   1    0
    8.173E+07    1.279E+07         8.800E-01         5.344E-01   1    0
    8.989E+07    2.095E+07         9.678E-01         8.752E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   2    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.896E+07    1.002E+07         8.502E-01         4.186E-01   0    1
    7.538E+07    6.434E+06         8.115E-01         2.688E-01   1    0
    7.359E+07    4.653E+06         7.923E-01         1.943E-01   1    1
    7.415E+07    5.211E+06         7.984E-01         2.177E-01   2    1
    8.628E+07    1.734E+07         9.289E-01         7.242E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.916E+07    2.022E+07         9.600E-01         8.446E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    3.682E+07   -3.212E+07         3.965E-01        -1.342E+00   1    0
    8.239E+07    1.345E+07         8.871E-01         5.619E-01   1    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    1
    8.023E+07    1.129E+07         8.638E-01         4.714E-01   1    3
    9.028E+07    2.133E+07         9.720E-01         8.912E-01   1    0
